ranking,name,age,weight,height,ufc_wins,ufc_loses,ufc_draws,ufc_no_contests,mma_wins,mma_loses,mma_draws,mma_no_contests
,Andrei Arlovski,44,265,1.91,23,16,0,1,34,22,0,2
0,Jon Jones,35,265,1.93,21,1,0,1,27,1,0,1
3,Stipe Miocic,40,265,1.93,14,4,0,0,20,4,0,0
,Walt Harris,40,265,1.96,6,9,0,1,13,10,0,1
11,Derrick Lewis,38,265,1.91,17,9,0,0,26,11,0,1
,Marcos Rogerio de Lima,38,265,1.85,10,7,0,0,21,8,1,0
,Jake Collier,34,265,1.91,5,8,0,0,13,9,0,0
,Jarjis Danho,39,265,1.91,1,1,1,0,6,1,1,1
4,Curtis Blaydes,32,265,1.93,12,4,0,1,17,4,0,1
10,Marcin Tybura,37,265,1.91,11,6,0,0,24,7,0,0
7,Alexander Volkov,34,265,2.01,10,4,0,0,36,10,0,0
6,Tai Tuivasa,30,265,1.88,8,5,0,0,0,0,0,0
15,Blagoy Ivanov,36,265,1.8,3,4,0,0,19,5,0,1
2,Sergei Pavlovich,31,265,1.91,6,1,0,0,18,1,0,0
12,Jairzinho Rozenstruik,35,265,1.88,7,5,0,0,13,5,0,0
8,Sergey Spivak,28,265,1.91,7,3,0,0,16,3,0,0
1,Ciryl Gane,33,265,1.96,7,2,0,0,10,2,0,0
,Justin Tafa,29,265,1.83,3,3,0,0,6,3,0,0
,Don'Tale Mayes,31,265,1.98,3,3,0,1,10,5,0,1
,Rodrigo Nascimento,30,265,1.91,3,1,0,1,10,1,0,1
5,Tom Aspinall,30,265,1.96,5,1,0,0,12,3,0,0
13,Chris Daukaus,33,265,1.88,4,3,0,0,12,6,0,0
,Parker Porter,38,265,1.83,4,3,0,0,14,8,0,0
14,Alexander Romanov,32,265,1.88,5,2,0,0,16,2,0,0
,Josh Parisian,33,265,1.93,2,3,0,0,15,6,0,0
,Chris Barnett,36,265,1.75,2,2,0,0,23,8,0,0
9,Jailton Almeida,31,265,1.91,5,0,0,0,19,2,0,0
,Martin Buday,31,265,1.93,3,0,0,0,12,1,0,0
,Hamdy Abdelwahab,30,265,1.88,0,0,0,1,5,0,0,1
,Mohammed Usman,34,265,1.88,2,0,0,0,9,2,0,0
,Lukasz Brzeski,31,265,1.93,0,2,0,0,8,3,1,1
,Waldo Cortes-Acosta,31,265,1.93,2,1,0,0,9,1,0,0
,Jamal Pogues,27,265,1.91,1,0,0,0,10,3,0,0
,Karl Williams,33,265,1.91,2,0,0,0,9,1,0,0
,Junior Tafa,26,265,1.91,0,1,0,0,4,1,0,0
,Braxton Smith,33,265,1.8,0,1,0,0,5,2,0,0
,Alexander Gustafsson,36,205,1.93,10,8,0,0,18,8,0,0
,Ovince Saint Preux,40,205,1.91,16,13,0,0,26,17,0,0
15,Dustin Jacoby,35,205,1.93,6,4,1,0,18,6,1,0
7,Anthony Smith,34,205,1.93,13,10,0,0,36,18,0,0
5,Nikita Krylov,31,205,1.88,11,7,0,0,30,9,0,0
3,Jan Blachowicz,40,205,1.88,12,6,1,0,29,9,1,0
,Ion Cutelaba,29,205,1.85,6,8,1,0,17,9,1,1
13,Khalil Rountree Jr,33,205,1.85,7,5,0,1,11,5,0,1
,Devin Clark,34,205,1.83,8,8,0,0,14,8,0,0
,Tyson Pedro,31,205,1.91,5,4,0,0,9,4,0,0
9,Paul Craig,35,205,1.93,8,6,1,0,16,6,1,0
8,Volkan Oezdemir,33,205,1.88,6,6,0,0,18,7,0,0
12,Dominick Reyes,33,205,1.93,6,4,0,0,12,4,0,0
4,Aleksandar Rakic,31,205,1.96,6,2,0,0,14,3,0,0
